Neoplasm by Morphology
	Neoplasms, NOS (800)
		Neoplasm, benign (8000/0)
		Neoplasm, uncertain whether benign or malignant (8000/1)
		Neoplasm, malignant (8000/3)
		Neoplasm, metastatic (8000/6)
		Neoplasm, malignant, uncertain whether primary or metastatic (8000/9)
		Tumor cells, benign (8001/0)
		Tumor cells, uncertain whether benign or malignant (8001/1)
		Tumor cells, malignant (8001/3)
		Malignant tumor, small cell type (8002/3)
		Malignant tumor, giant cell type (8003/3)
		Malignant tumor, spindle cell type (8004/3)
		Clear cell tumor, NOS (8005/0)
		Malignant tumor, clear cell type (8005/3)
	Epithelial neoplasms, NOS (801-804)
		Epithelial tumor, benign (8010/0)
		Carcinoma in situ, NOS (8010/2)
		Carcinoma, NOS (8010/3)
		Carcinoma, metastatic, NOS (8010/6)
		Carcinomatosis (8010/9)
		Epithelioma, benign (8011/0)
		Epithelioma, malignant (8011/3)
		Large cell carcinoma, NOS (8012/3)
		Large cell neuroendocrine carcinoma (8013/3)
		Large cell carcinoma with rhabdoid phenotype (8014/3)
		Glassy cell carcinoma (8015/3)
		Carcinoma, undifferentiated, NOS (8020/3)
		Carcinoma, anaplastic, NOS (8021/3)
		Pleomorphic carcinoma (8022/3)
		Giant cell and spindle cell carcinoma (8030/3)
		Giant cell carcinoma (8031/3)
		Spindle cell carcinoma, NOS (8032/3)
		Pseudosarcomatous carcinoma (8033/3)
		Polygonal cell carcinoma (8034/3)
		Carcinoma with osteoclast-like giant cells (8035/3)
		Tumorlet, benign (8040/0)
		Tumorlet, NOS (8040/1)
		Small cell carcinoma, NOS (8041/3)
		Oat cell carcinoma (8042/3)
		Small cell carcinoma, fusiform cell (8043/3)
		Small cell carcinoma, intermediate cell (8044/3)
		Combined small cell carcinoma (8045/3)
		Non-small cell carcinoma (8046/3)
	Squamous cell neoplasms (805-808)
		Papilloma, NOS (8050/0)
		Papillary carcinoma in situ (8050/2)
		Papillary carcinoma, NOS (8050/3)
		Verrucous papilloma (8051/0)
		Verrucous carcinoma, NOS (8051/3)
		Squamous cell papilloma, NOS (8052/0)
		Papillary squamous cell carcinoma,  non-invasive (8052/2)
		Papillary squamous cell carcinoma (8052/3)
		Squamous cell papilloma, inverted (8053/0)
		Squamous papillomatosis (8060/0)
		Squamous cell carcinoma in situ, NOS (8070/2)
		Squamous cell carcinoma, NOS (8070/3)
		Squamous cell carcinoma, metastatic, NOS (8070/6)
		Squamous cell carcinoma, keratinizing, NOS (8071/3)
		Squamous cell carcinoma, large cell, nonkeratinizing, NOS (8072/3)
		Squamous cell carcinoma, small cell, nonkeratinizing (8073/3)
		Squamous cell carcinoma, spindle cell (8074/3)
		Squamous cell carcinoma, adenoid (8075/3)
		Squamous cell carcinoma in situ with questionable stromal invasion (8076/2)
		Squamous cell carcinoma, microinvasive (8076/3)
		Squamous intraepithelial neoplasia, low grade (8077/0)
		Squamous intraepithelial neoplasia, grade III (8077/2)
		Squamous cell carcinoma with horn formation (8078/3)
		Queyrat erythroplasia (8080/2)
		Bowen disease (8081/2)
		Lymphoepithelial carcinoma (8082/3)
		Basaloid squamous cell carcinoma (8083/3)
		Squamous cell carcinoma, clear cell type (8084/3)
	Basal cell neoplasms (809-811)
		Basal cell tumor (8090/1)
		Basal cell carcinoma, NOS (8090/3)
		Multifocal superficial basal cell carcinoma (8091/3)
		Infiltrating basal cell carcinoma, NOS (8092/3)
		Basal cell carcinoma, fibroepithelial (8093/3)
		Basosquamous carcinoma (8094/3)
		Metatypical carcinoma (8095/3)
		Intraepidermal epithelioma of Jadassohn (8096/0)
		Basal cell carcinoma, nodular (8097/3)
		Adenoid basal carcinoma (8098/3)
		Trichoepithelioma (8100/0)
		Trichofolliculoma (8101/0)
		Trichilemmoma (8102/0)
		Trichilemmocarcinoma (8102/3)
		Pilar tumor (8103/0)
		Pilomatrixoma, NOS (8110/0)
		Pilomatrix carcinoma (8110/3)
	Transitional cell papillomas and carcinomas (812-813)
		Transitional cell papilloma, benign (8120/0)
		Urothelial papilloma, NOS (8120/1)
		Transitional cell carcinoma in situ (8120/2)
		Transitional cell carcinoma, NOS (8120/3)
		Schneiderian papilloma, NOS (8121/0)
		Transitional cell papilloma, inverted, NOS (8121/1)
		Schneiderian carcinoma (8121/3)
		Transitional cell carcinoma, spindle cell (8122/3)
		Basaloid carcinoma (8123/3)
		Cloacogenic carcinoma (8124/3)
		Papillary transitional cell neoplasm of low malignant potential (8130/1)
		Papillary transitional cell carcinoma,  non-invasive (8130/2)
		Papillary transitional cell carcinoma (8130/3)
		Transitional cell carcinoma, micropapillary (8131/3)
	Adenomas and adenocarcinomas (814-838)
		Adenoma, NOS (8140/0)
		Atypical adenoma (8140/1)
		Adenocarcinoma in situ, NOS (8140/2)
		Adenocarcinoma, NOS (8140/3)
		Adenocarcinoma, metastatic, NOS (8140/6)
		Scirrhous adenocarcinoma (8141/3)
		Linitis plastica (8142/3)
		Superficial spreading adenocarcinoma (8143/3)
		Adenocarcinoma, intestinal type (8144/3)
		Carcinoma, diffuse type (8145/3)
		Monomorphic adenoma (8146/0)
		Basal cell adenoma (8147/0)
		Basal cell adenocarcinoma (8147/3)
		Glandular intraepithelial neoplasia, grade III (8148/2)
		Glandular intraepithelial neoplasia, high grade (8148/2)
		Canalicular adenoma (8149/0)
		Pancreatic endocrine tumor, benign (C25._) (8150/0)
		Islet cell adenoma (8150/0)
		Pancreatic endocrine tumor, NOS (C25._) (8150/1)
		Islet cell tumor, NOS (8150/1)
		Pancreatic endocrine tumor, malignant (8150/3)
		Islet cell carcinoma (8150/3)
		Insulinoma, NOS (8151/0)
		Insulinoma, malignant (8151/3)
		Glucagonoma, NOS (8152/1)
		Glucagonoma, malignant (8152/3)
		Gastrinoma, NOS (8153/1)
		Gastrinoma, malignant (8153/3)
		Mixed islet cell and exocrine adenocarcinoma (8154/3)
		Mixed pancreatic endocrine and exocrine tumor, malignant (C25._) (8154/3)
		Vipoma, NOS (8155/1)
		Vipoma, malignant (8155/3)
		Somatostatinoma, NOS (8156/1)
